广东频道,#genre#
广东珠江,http://61.140.201.112:8028/udp/239.77.0.114:5146
广东珠江,http://61.140.201.112:8028/udp/239.77.0.1:5146
广东珠江,http://113.100.72.95:8899/udp/239.77.0.114:5146
广东珠江,http://yuju666888.x3322.net:808/hls/1/index.m3u8
广东珠江,http://183.238.248.83:9000/udp/239.20.0.64:3144
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
广东珠江,http://218.17.205.210:9901/tsfile/live/1000_1.m3u8
广东珠江,http://113.86.205.10:8090/hls/105/index.m3u8
广东珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8
广东珠江,http://jyjxy.7766.org:8811/hls/17/index.m3u8
开平综合,https://skype.serv00.net/itouch.php?id=kpzh
开平综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2405
开平生活,https://skype.serv00.net/itouch.php?id=kpsh
开平生活,http://ci.emdoor.tech:8080/touchtv.php?pk=2406
江门综合,http://www.namewee.xyz/gudou.php?id=jiangmenzongheHD
江门综合,http://yzfvip.top:8000/rtp/239.77.0.201:5146
江门综合,http://125.92.140.226:8888/udp/239.77.0.201:5146
江门综合,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=3712_1500
江门侨乡生活,http://www.namewee.xyz/gudou.php?id=jiangmenyitao_1500
江门侨乡生活,http://yzfvip.top:8000/rtp/239.77.0.202:5146
江门侨乡生活,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=jiangmenyitao_1500
广东体育,http://113.100.72.95:8899/udp/239.77.0.112:5146
广东体育,http://113.100.72.95:8899/udp/239.77.0.168:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://jyjxy.7766.org:8811/hls/18/index.m3u8
广东体育,https://skype.serv00.net/itouch.php?id=gdty
广东体育,http://r.jdshipin.com/LiYdg
广东体育,http://219.135.208.218:8083/tsfile/live/1000_1.m3u8
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东新闻,http://113.86.204.95:9999/udp/239.77.0.173:5146
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东新闻,http://183.238.248.83:9000/udp/239.21.0.93:3712
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw
广东新闻,http://183.237.246.14:9931/tsfile/live/1012_1.m3u8
广东新闻,http://ci.emdoor.tech:8080/touchtv.php?pk=2512
广东卫视,http://61.140.201.112:8028/udp/239.77.1.19:5146
广东卫视,http://221.219.77.170:4000/rtp/239.3.1.142:8048
广东卫视,http://171.124.177.186:888/hls/382439326/index.m3u8
广东卫视,http://14.29.76.30:9901/tsfile/live/0125_1.m3u8
广东卫视,http://113.110.72.127:8090/hls/152/index.m3u8
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd/4000000
广东卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
广东卫视,http://218.13.170.98:9901/tsfile/live/0017_1.m3u8
广东卫视,http://222.173.134.150:8888/tsfile/live/0125_1.m3u8
广东卫视,http://cfss.cc/api/ysp/gdws.m3u8
广东卫视,http://gmxw.7766.org:808/hls/80/index.m3u8
广东卫视,http://219.135.208.218:8083/tsfile/live/0016_1.m3u8
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
广东卫视,http://gxft.7766.org:9901/tsfile/live/0125_1.m3u8
广东卫视,http://1.30.18.218:20080/hls/59/index.m3u8
大湾区卫视,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws
大湾区卫视,http://183.238.248.83:9000/udp/239.21.0.84:3676
大湾区卫视,http://skype.serv00.net/itouch.php?id=gdgj
大湾区卫视,https://epg.pw/stream/fef2b0a1b538aec733fe12fd7ce2027a199d8f6f0f3a64753063d04777744b47.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,https://epg.pw/stream/255a4080ec98d7fdd51588ebc7d2c56a78e5e0cd46492f502e2cad43c7a28dc7.m3u8
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8
新会综合,https://skype.serv00.net/itouch.php?id=xhzh
新会综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2490
鹤山综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2441
鹤山综合,https://skype.serv00.net/itouch.php?id=hszh
广州综合,http://www.namewee.xyz/gudou.php?id=gzhounewsHD
广州综合,https://justsometime.gztv.com/sec/zhonghe.m3u8
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://www.namewee.xyz/gudou.php?id=gzcompetitiongaoqing
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=shundeHD_4500
珠海,http://113.86.204.95:9999/udp/239.77.0.155:5146
深圳卫视,http://116.30.199.212:8888/udp/239.77.1.148:5146
深圳卫视,http://218.13.170.98:9901/tsfile/live/1005_1.m3u8
深圳卫视,https://epg.pw/stream/f71ce2c8d3869cd398598fccaa3ae45c79fc432743b033a33f58b7b2abd51c41.m3u8
深圳卫视,http://61.182.33.218:8000/hls/21/index.m3u8
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000
深圳卫视,http://gmxw.7766.org:808/hls/45/index.m3u8
深圳卫视,http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/szwshd8m/8000000/mnf.m3u8
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://125.210.152.19:9123/live/hzgq-szwsgq-h264.m3u8
深圳卫视,http://115.149.139.141:10001/tsfile/live/1032_1.m3u8
深圳卫视,http://113.57.109.36:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://222.240.82.92:9901/tsfile/live/0126_1.m3u8

央视频道,#genre#
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-1,http://116.30.199.212:8888/udp/239.77.1.17:5146
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
